Order,PO,Call #,Color,Interior Color,Handing,Options 1,Options 2,Options 3,Jamb,Misc.
,,,,,,,,,,
,,,,,,,,,,
AZJ00071,NSE103KF,,,,,,,,,
41,Elevate Double Hung,CN 3060,Stone White ,White Interior,NA,"7/8"" SDL - No SBAR",Rectangular - Standard Cut 3W2H,STC/OITC Low E2 w/Argon,"6 9/16"" Jambs",Nailing Fin
42,ELIFD G3 6 9/16 XX ASSY,CN 5068,STONE WHITE,White Interior ,Right Hand,7/8sdl with no spacerbar,rectangular-standard cut 2w5h,stc-oitc tempered low E2 w/Argon,6 9/16 Jambs,Nailing fin
43,Elevate Double Hung,CN 3060,Stone White,White Interior,NA,"7/8"" SDL - No SBAR",Rectangular - Standard Cut 3W2H,STC/OITC Low E2 w/Argon,"6 9/16"" Jambs",Nailing Fin
AZJ00649,1794,,,,,,,,,
443,ESSENTIAL DIRECT GLAZE RECT,NA,EBONY,STONE WHITE,NA,Stainless perimeter bar,NA,Tempered Low E2 ERS W/ARGON,2 jambs ,4' structural brackets
511,ESSENTIAL DIRECT GLAZE RECT,NA,EBONY,STONE WHITE,NA,Stainless perimeter bar,NA,Tempered Low E3 ERS W/ARGON,2 jambs ,4' structural brackets
514,ESSENTIAL DIRECT GLAZE RECT,CN 3620,EBONY,STONE WHITE,Roto Operating,Stainless perimeter bar,NA,Tempered Low E3 ERS W/ARGON,2 jambs ,4' structural brackets
529,ESSENTIAL DIRECT GLAZE RECT,CN 3620,EBONY,STONE WHITE,Roto Operating,Stainless perimeter bar,NA,Tempered Low E3 ERS W/ARGON,2 jambs ,4' structural brackets
537,ESSENTIAL DIRECT GLAZE RECT,CN 3620,EBONY,STONE WHITE,Roto Operating,Stainless perimeter bar,NA,Tempered Low E3 ERS W/ARGON,2 jambs ,4' structural brackets
,,,,,,,,,,
,,,,,,,,,,
AZJ01227,2650,,,,,,,,,
1,CRT1 DG ASSY,CN2022,Ebony Clad,Bare pine interior,NA,black perimeter and spacerbar7/8 sdl w/spacerbar black,rectangular standard cut 3w2h,Low E2 w/Argon,6 9/16 Jambs,Nailing fin
1a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
1b,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
1c,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
AZJ01242,2650-2,,,,,,,,,
2,CUDH-NG 2.0 ASSEMBLY,CN2624,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Low E2 w/Argon,4 9/16 jambs,Nailing fin
3,CUDH-NG 2.0 ASSEMBLY,CN2620,Ebony Clad ,Bare pine interior ,NA,7/8sdl- w/spacerbar-blk/perimeter spacerbar,rectangular standard cut 3w2h,Tempered Low E2 w/Argon,4 9/16 jambs,Nailing fin
3a,CUDH-NG 2.0 SCREEN,NA,NA,NA,NA,NA,NA,NA,NA,NA
